time_s,Crawler Transporter,Rail Platform,Maglev Platform
0.0,0.35497903891879323,0.22713392220734202,0.039629566247039116
0.005,0.2005715774391232,0.4453697009709973,0.07102848476133582
0.01,0.688398586701049,0.4500112207435921,0.07783622235754083
0.015,0.8060225260754614,0.7828725941120496,0.043155101121992334
0.02,0.2382495433793268,0.6930387381478078,0.06010270741884033
0.025,0.40197573658106417,0.4498260752571608,0.01193722898666372
0.03,0.713480763459558,0.4385373900015564,0.05708072251035219
0.035,0.6123782709874318,0.5388213280303787,0.03542740560204735
0.04,0.6640846947422266,0.3505488030469398,0.049934967435471316
0.045,0.47364592855347,0.6392863521166932,0.01680785136198881
0.05,0.8366682068996723,0.5411057856051094,0.06984106496704887
0.055,0.816498922769384,0.5454137500225165,0.026801140219215543
0.06,0.675385524983509,0.6218643435909824,0.07794225031906339
0.065,0.9208908403913647,0.7731426138926591,0.05473792240022006
0.07,0.8042601158890587,0.5444009297375451,0.07271773509948856
0.075,0.546100362876891,0.4783032529235734,0.12796286232105394
0.08,0.8291082625936748,0.6687934975367292,0.12116150073291078
0.085,0.5575241012274026,0.5508530887660228,0.13817415415765968
0.09,0.9483722216895114,0.3353068046407404,0.1485557491405174
0.095,0.7332560161317075,0.3669640917039163,0.09146468025456715
0.1,0.6714169828099932,0.4089626935039813,0.13926472441431115
0.105,0.5182305204878624,0.4826424206188306,0.062088346593093736
0.11,0.8670090128722724,0.32531382245711205,0.10472173623818894
0.115,0.5112904301823373,0.41192118153631707,0.06615426098228855
0.12,0.39407042440791534,0.6328217157144245,0.047087493068778734
0.125,0.3623924439038546,0.750579792145318,0.07608762980024442
0.13,0.5216001512409549,0.9080820287315065,0.07898751805006493
0.135,0.48114054188939814,1.1697696568456954,0.07614219084922759
0.14,0.5155785650460701,1.0973803334640306,0.06024341866792365
0.145,0.574942866337841,1.1454611540543531,0.061060169678823585
0.15,1.0259688713469484,0.9003887408977344,0.07461003249843007
0.155,0.5946807812810614,0.9301160858145214,0.07431739139170852
0.16,0.7053331121540174,0.9794630858472263,0.08447644936740571
0.165,0.7868297215134152,0.874676301812651,0.07993838619941088
0.17,1.2412983093864547,0.5872814330061229,0.09635430055198708
0.17500000000000002,1.4940663216864911,0.6234107317237167,0.03767931298300344
0.18,1.3572222558718907,0.8377164747840248,0.06962529835062707
0.185,1.308552659805884,0.466863294316955,0.03530197386777752
0.19,1.3909688107663083,0.32208601181993657,0.06802269352980717
0.195,1.7550404065076768,0.3472755799452585,0.0935704995509668
0.2,1.7942950285349162,0.33131770534064375,0.03835625796428088
0.20500000000000002,1.743952218821606,0.23376300212620532,0.0485565524284216
0.21,1.4559335657164227,0.1772315804509407,0.06198536116745983
0.215,1.6012347205592472,-0.10119832417170009,-0.0023873239973919813
0.22,1.5207369738247487,-0.11082584504155558,0.038821783423893114
0.225,1.4836247977821435,-0.061447706633687066,0.06757632552690815
0.23,1.5665377938006413,-0.10687274226628035,0.0015429141548687073
0.23500000000000001,1.3781943611382252,-0.17723562061265197,0.05836297595008424
0.24,1.4335271447675006,-0.10436099491139963,0.11931139700846133
0.245,1.2691036473755892,-0.024167654697981104,0.1286809185742454
0.25,1.288100718194537,0.15885318440056137,0.12405850468476948
0.255,1.3346443512755748,0.09194056413846996,0.1438128069376524
0.26,0.8593858260556702,0.2251134415083435,0.1334562748313387
0.265,1.0647382552682128,0.13094343375502127,0.14414033829700332
0.27,0.98279174339616,0.2901286796564654,0.12429985567470865
0.275,0.8816581513289469,0.22232800326240415,0.13352168914602627
0.28,0.8775805541677639,0.20941393991779675,0.11456887067447269
0.28500000000000003,1.1581947689023953,0.07103264809274523,0.15796397639100826
0.29,0.5449249667380841,-0.08636417443673164,0.16429538199968569
0.295,0.820288701046112,-0.3311895452594504,0.1632262640116532
0.3,0.13846216132235345,-0.42420593660706285,0.12590591986181726
0.305,0.3182385519837678,-0.43160568169676083,0.11997249940105537
0.31,0.3323167078449424,-0.7700691323085883,0.1809581524647738
0.315,0.35333546732985605,-0.8353296858479278,0.17368635540594565
0.32,0.33872330631660963,-0.7649311715912683,0.1787475931824548
0.325,0.3460359817564376,-0.7578404806291646,0.16546302392477197
0.33,0.1234180395386744,-0.9491039235200093,0.19766051802869025
0.335,0.1491648025126686,-0.858584030180978,0.16695600765950142
0.34,0.5046648223453825,-0.8798325154043116,0.20867445401082055
0.34500000000000003,0.3707166698850147,-1.2015714908920114,0.2241603074898788
0.35000000000000003,0.2368293470343034,-0.9437143358603305,0.224923158892472
